[2025-02-22 22:15:06,694] [INFO] STARTUP: Application starting
[2025-02-22 23:11:26,476] [INFO] Calling admin callback
[2025-02-22 23:11:27,123] [DEBUG] Received from Arduino: ADMIN:1
[2025-02-22 23:11:27,124] [INFO] Admin button pressed
[2025-02-22 23:11:27,125] [INFO] Calling admin callback
[2025-02-22 23:11:27,895] [DEBUG] Received from Arduino: ADMIN:1
[2025-02-22 23:11:27,895] [INFO] Admin button pressed
[2025-02-22 23:11:27,896] [INFO] Calling admin callback
[2025-02-22 23:11:28,647] [DEBUG] Received from Arduino: ADMIN:1
[2025-02-22 23:11:28,648] [INFO] Admin button pressed
[2025-02-22 23:11:28,649] [INFO] Calling admin callback
[2025-02-22 23:11:29,716] [DEBUG] Received from Arduino: ADMIN:1
[2025-02-22 23:11:29,717] [INFO] Admin button pressed
[2025-02-22 23:11:29,718] [INFO] Calling admin callback
[2025-02-22 23:11:30,407] [DEBUG] Received from Arduino: ADMIN:1
[2025-02-22 23:11:30,408] [INFO] Admin button pressed
[2025-02-22 23:11:30,409] [INFO] Calling admin callback
[2025-02-22 23:11:32,137] [DEBUG] Received from Arduino: ADMIN:1
[2025-02-22 23:11:32,138] [INFO] Admin button pressed
[2025-02-22 23:11:32,139] [INFO] Calling admin callback
[2025-02-22 23:11:34,399] [DEBUG] Received from Arduino: ADMIN:1
[2025-02-22 23:11:34,400] [INFO] Admin button pressed
[2025-02-22 23:11:34,401] [INFO] Calling admin callback
[2025-02-22 23:11:35,364] [DEBUG] Received from Arduino: ADMIN:1
[2025-02-22 23:11:35,364] [INFO] Admin button pressed
[2025-02-22 23:11:35,365] [INFO] Calling admin callback
[2025-02-22 23:11:36,134] [DEBUG] Received from Arduino: ADMIN:1
[2025-02-22 23:11:36,135] [INFO] Admin button pressed
[2025-02-22 23:11:36,136] [INFO] Calling admin callback
[2025-02-22 23:11:36,787] [DEBUG] Received from Arduino: ADMIN:1
[2025-02-22 23:11:36,787] [INFO] Admin button pressed
[2025-02-22 23:11:36,788] [INFO] Calling admin callback
[2025-02-22 23:11:37,343] [DEBUG] Received from Arduino: ADMIN:1
[2025-02-22 23:11:37,344] [INFO] Admin button pressed
[2025-02-22 23:11:37,345] [INFO] Calling admin callback
[2025-02-22 23:11:38,077] [DEBUG] Received from Arduino: ADMIN:1
[2025-02-22 23:11:38,078] [INFO] Admin button pressed
[2025-02-22 23:11:38,080] [INFO] Calling admin callback
[2025-02-22 23:11:39,169] [DEBUG] Received from Arduino: ADMIN:1
[2025-02-22 23:11:39,169] [INFO] Admin button pressed
[2025-02-22 23:11:39,170] [INFO] Calling admin callback
[2025-02-22 23:11:40,009] [DEBUG] Received from Arduino: ADMIN:1
[2025-02-22 23:11:40,009] [INFO] Admin button pressed
[2025-02-22 23:11:40,010] [INFO] Calling admin callback
[2025-02-22 23:11:47,772] [DEBUG] Received from Arduino: ADMIN:1
[2025-02-22 23:11:47,772] [INFO] Admin button pressed
[2025-02-22 23:11:47,773] [INFO] Calling admin callback
[2025-02-22 23:11:48,546] [DEBUG] Received from Arduino: ADMIN:1
[2025-02-22 23:11:48,546] [INFO] Admin button pressed
[2025-02-22 23:11:48,547] [INFO] Calling admin callback
[2025-02-22 23:12:14,957] [INFO] STARTUP: Application starting
[2025-02-22 23:12:17,569] [DEBUG] SumatraPDF not found in registry
[2025-02-22 23:12:17,569] [INFO] Found SumatraPDF at: C:\Users\Waren\AppData\Local\SumatraPDF\SumatraPDF.exe
[2025-02-22 23:12:17,569] [INFO] PDFPrinter initialized with printer: EPSON L120 Series
[2025-02-22 23:12:17,570] [INFO] SumatraPDF path: C:\Users\Waren\AppData\Local\SumatraPDF\SumatraPDF.exe
[2025-02-22 23:12:17,572] [INFO] Connecting to Arduino on port COM4
[2025-02-22 23:12:19,578] [WARNING] Unexpected response from Arduino: PisoPrint Arduino Ready
[2025-02-22 23:12:19,582] [INFO] Successfully connected to Arduino
[2025-02-22 23:12:19,583] [INFO] STARTUP: Application initialized and ready
[2025-02-22 23:12:19,683] [DEBUG] Received from Arduino: PONG
[2025-02-22 23:12:48,548] [INFO] PAYMENT: Coin acceptor ready via Arduino
[2025-02-22 23:12:59,398] [DEBUG] Received from Arduino: COIN:10
[2025-02-22 23:12:59,399] [INFO] Coin detected: 10
[2025-02-22 23:13:29,303] [DEBUG] Received from Arduino: ADMIN:1
[2025-02-22 23:13:29,304] [INFO] Admin button pressed
[2025-02-22 23:13:29,305] [INFO] Calling admin callback
[2025-02-22 23:24:35,088] [INFO] STARTUP: Application starting
[2025-02-22 23:24:37,827] [DEBUG] SumatraPDF not found in registry
[2025-02-22 23:24:37,828] [INFO] Found SumatraPDF at: C:\Users\Waren\AppData\Local\SumatraPDF\SumatraPDF.exe
[2025-02-22 23:24:37,828] [INFO] PDFPrinter initialized with printer: EPSON L120 Series
[2025-02-22 23:24:37,828] [INFO] SumatraPDF path: C:\Users\Waren\AppData\Local\SumatraPDF\SumatraPDF.exe
[2025-02-22 23:24:37,831] [INFO] Connecting to Arduino on port COM4
[2025-02-22 23:24:39,835] [WARNING] Unexpected response from Arduino: PisoPrint Arduino Ready
[2025-02-22 23:24:39,847] [INFO] Successfully connected to Arduino
[2025-02-22 23:24:39,848] [INFO] STARTUP: Application initialized and ready
[2025-02-22 23:24:40,008] [DEBUG] Received from Arduino: PONG
[2025-02-22 23:24:52,559] [DEBUG] Received from Arduino: ADMIN:1
[2025-02-22 23:24:52,560] [INFO] Admin button pressed
[2025-02-22 23:24:52,560] [INFO] Calling admin callback
[2025-02-22 23:37:17,499] [INFO] STARTUP: Application starting
[2025-02-22 23:37:20,199] [DEBUG] SumatraPDF not found in registry
[2025-02-22 23:37:20,200] [INFO] Found SumatraPDF at: C:\Users\Waren\AppData\Local\SumatraPDF\SumatraPDF.exe
[2025-02-22 23:37:20,203] [INFO] PDFPrinter initialized with printer: EPSON L120 Series
[2025-02-22 23:37:20,204] [INFO] SumatraPDF path: C:\Users\Waren\AppData\Local\SumatraPDF\SumatraPDF.exe
[2025-02-22 23:37:20,206] [INFO] Connecting to Arduino on port COM4
[2025-02-22 23:37:22,212] [WARNING] Unexpected response from Arduino: PisoPrint Arduino Ready
[2025-02-22 23:37:22,216] [INFO] Successfully connected to Arduino
[2025-02-22 23:37:22,218] [INFO] STARTUP: Application initialized and ready
[2025-02-22 23:37:22,391] [DEBUG] Received from Arduino: PONG
[2025-02-22 23:37:31,833] [DEBUG] Received from Arduino: ADMIN:1
[2025-02-22 23:37:31,834] [INFO] Admin button pressed
[2025-02-22 23:37:31,834] [INFO] Calling admin callback
[2025-02-22 23:37:53,229] [DEBUG] Received from Arduino: ADMIN:1
[2025-02-22 23:37:53,229] [INFO] Admin button pressed
[2025-02-22 23:37:53,230] [INFO] Calling admin callback
[2025-02-22 23:38:42,165] [INFO] STARTUP: Application starting
[2025-02-22 23:38:44,913] [DEBUG] SumatraPDF not found in registry
[2025-02-22 23:38:44,913] [INFO] Found SumatraPDF at: C:\Users\Waren\AppData\Local\SumatraPDF\SumatraPDF.exe
[2025-02-22 23:38:44,914] [INFO] PDFPrinter initialized with printer: EPSON L120 Series
[2025-02-22 23:38:44,914] [INFO] SumatraPDF path: C:\Users\Waren\AppData\Local\SumatraPDF\SumatraPDF.exe
[2025-02-22 23:38:44,916] [INFO] Connecting to Arduino on port COM4
[2025-02-22 23:38:46,922] [WARNING] Unexpected response from Arduino: PisoPrint Arduino Ready
[2025-02-22 23:38:46,926] [INFO] Successfully connected to Arduino
[2025-02-22 23:38:46,928] [INFO] STARTUP: Application initialized and ready
[2025-02-22 23:38:47,067] [DEBUG] Received from Arduino: PONG
[2025-02-22 23:38:57,507] [DEBUG] Received from Arduino: ADMIN:1
[2025-02-22 23:38:57,508] [INFO] Admin button pressed
[2025-02-22 23:38:57,508] [INFO] Calling admin callback
[2025-02-22 23:39:15,872] [DEBUG] Received from Arduino: ADMIN:1
[2025-02-22 23:39:15,872] [INFO] Admin button pressed
[2025-02-22 23:39:15,873] [INFO] Calling admin callback
[2025-02-22 23:39:16,533] [DEBUG] Received from Arduino: ADMIN:1
[2025-02-22 23:39:16,533] [INFO] Admin button pressed
[2025-02-22 23:39:16,534] [INFO] Calling admin callback
[2025-02-22 23:39:17,165] [DEBUG] Received from Arduino: ADMIN:1
[2025-02-22 23:39:17,165] [INFO] Admin button pressed
[2025-02-22 23:39:17,168] [INFO] Calling admin callback
[2025-02-22 23:39:17,853] [DEBUG] Received from Arduino: ADMIN:1
[2025-02-22 23:39:17,854] [INFO] Admin button pressed
[2025-02-22 23:39:17,854] [INFO] Calling admin callback
[2025-02-22 23:39:18,736] [DEBUG] Received from Arduino: ADMIN:1
[2025-02-22 23:39:18,737] [INFO] Admin button pressed
[2025-02-22 23:39:18,738] [INFO] Calling admin callback
[2025-02-22 23:39:19,421] [DEBUG] Received from Arduino: ADMIN:1
[2025-02-22 23:39:19,422] [INFO] Admin button pressed
[2025-02-22 23:39:19,423] [INFO] Calling admin callback
[2025-02-22 23:39:20,144] [DEBUG] Received from Arduino: ADMIN:1
[2025-02-22 23:39:20,145] [INFO] Admin button pressed
[2025-02-22 23:39:20,146] [INFO] Calling admin callback
[2025-02-22 23:39:20,810] [DEBUG] Received from Arduino: ADMIN:1
[2025-02-22 23:39:20,811] [INFO] Admin button pressed
[2025-02-22 23:39:20,812] [INFO] Calling admin callback
[2025-02-22 23:39:21,479] [DEBUG] Received from Arduino: ADMIN:1
[2025-02-22 23:39:21,479] [INFO] Admin button pressed
[2025-02-22 23:39:21,480] [INFO] Calling admin callback
[2025-02-22 23:40:40,041] [INFO] STARTUP: Application starting
[2025-02-22 23:40:42,698] [DEBUG] SumatraPDF not found in registry
[2025-02-22 23:40:42,699] [INFO] Found SumatraPDF at: C:\Users\Waren\AppData\Local\SumatraPDF\SumatraPDF.exe
[2025-02-22 23:40:42,699] [INFO] PDFPrinter initialized with printer: EPSON L120 Series
[2025-02-22 23:40:42,699] [INFO] SumatraPDF path: C:\Users\Waren\AppData\Local\SumatraPDF\SumatraPDF.exe
[2025-02-22 23:40:42,701] [INFO] Connecting to Arduino on port COM4
[2025-02-22 23:40:44,707] [WARNING] Unexpected response from Arduino: PisoPrint Arduino Ready
[2025-02-22 23:40:44,712] [INFO] Successfully connected to Arduino
[2025-02-22 23:40:44,714] [INFO] STARTUP: Application initialized and ready
[2025-02-22 23:40:44,856] [DEBUG] Received from Arduino: PONG
[2025-02-22 23:40:47,269] [DEBUG] Received from Arduino: ADMIN:1
[2025-02-22 23:40:47,269] [INFO] Admin button pressed
[2025-02-22 23:40:47,318] [INFO] Calling admin callback
[2025-02-22 23:42:58,969] [INFO] STARTUP: Application starting
[2025-02-22 23:43:01,825] [DEBUG] SumatraPDF not found in registry
[2025-02-22 23:43:01,826] [INFO] Found SumatraPDF at: C:\Users\Waren\AppData\Local\SumatraPDF\SumatraPDF.exe
[2025-02-22 23:43:01,826] [INFO] PDFPrinter initialized with printer: EPSON L120 Series
[2025-02-22 23:43:01,826] [INFO] SumatraPDF path: C:\Users\Waren\AppData\Local\SumatraPDF\SumatraPDF.exe
[2025-02-22 23:43:01,829] [INFO] Connecting to Arduino on port COM4
[2025-02-22 23:43:03,835] [WARNING] Unexpected response from Arduino: PisoPrint Arduino Ready
[2025-02-22 23:43:03,839] [INFO] Successfully connected to Arduino
[2025-02-22 23:43:03,840] [INFO] STARTUP: Application initialized and ready
[2025-02-22 23:43:03,970] [DEBUG] Received from Arduino: PONG
[2025-02-22 23:43:06,180] [DEBUG] Received from Arduino: ADMIN:1
[2025-02-22 23:43:06,181] [INFO] Admin button pressed
[2025-02-22 23:43:06,181] [INFO] Calling admin callback
[2025-02-22 23:43:43,802] [INFO] STARTUP: Application starting
[2025-02-22 23:43:46,084] [DEBUG] SumatraPDF not found in registry
[2025-02-22 23:43:46,085] [INFO] Found SumatraPDF at: C:\Users\Waren\AppData\Local\SumatraPDF\SumatraPDF.exe
[2025-02-22 23:43:46,085] [INFO] PDFPrinter initialized with printer: EPSON L120 Series
[2025-02-22 23:43:46,086] [INFO] SumatraPDF path: C:\Users\Waren\AppData\Local\SumatraPDF\SumatraPDF.exe
[2025-02-22 23:43:46,088] [INFO] Connecting to Arduino on port COM4
[2025-02-22 23:43:48,093] [WARNING] Unexpected response from Arduino: PisoPrint Arduino Ready
[2025-02-22 23:43:48,097] [INFO] Successfully connected to Arduino
[2025-02-22 23:43:48,099] [INFO] STARTUP: Application initialized and ready
[2025-02-22 23:43:48,201] [DEBUG] Received from Arduino: PONG
[2025-02-22 23:44:53,146] [INFO] SHUTDOWN: Application exiting
[2025-02-22 23:45:01,487] [INFO] STARTUP: Application starting
[2025-02-22 23:45:03,801] [DEBUG] SumatraPDF not found in registry
[2025-02-22 23:45:03,801] [INFO] Found SumatraPDF at: C:\Users\Waren\AppData\Local\SumatraPDF\SumatraPDF.exe
[2025-02-22 23:45:03,802] [INFO] PDFPrinter initialized with printer: EPSON L120 Series
[2025-02-22 23:45:03,803] [INFO] SumatraPDF path: C:\Users\Waren\AppData\Local\SumatraPDF\SumatraPDF.exe
[2025-02-22 23:45:03,808] [INFO] Connecting to Arduino on port COM4
[2025-02-22 23:45:05,815] [WARNING] Unexpected response from Arduino: PisoPrint Arduino Ready
[2025-02-22 23:45:05,820] [INFO] Successfully connected to Arduino
[2025-02-22 23:45:05,822] [INFO] STARTUP: Application initialized and ready
[2025-02-22 23:45:05,923] [DEBUG] Received from Arduino: PONG
[2025-02-22 23:45:30,188] [INFO] SHUTDOWN: Application exiting
[2025-02-22 23:54:39,822] [INFO] STARTUP: Application starting
[2025-02-22 23:54:42,607] [DEBUG] SumatraPDF not found in registry
[2025-02-22 23:54:42,608] [INFO] Found SumatraPDF at: C:\Users\Waren\AppData\Local\SumatraPDF\SumatraPDF.exe
[2025-02-22 23:54:42,608] [INFO] PDFPrinter initialized with printer: EPSON L120 Series
[2025-02-22 23:54:42,609] [INFO] SumatraPDF path: C:\Users\Waren\AppData\Local\SumatraPDF\SumatraPDF.exe
[2025-02-22 23:54:42,610] [INFO] Connecting to Arduino on port COM4
[2025-02-22 23:54:44,617] [WARNING] Unexpected response from Arduino: PisoPrint Arduino Ready
[2025-02-22 23:54:44,621] [INFO] Successfully connected to Arduino
[2025-02-22 23:54:44,622] [INFO] STARTUP: Application initialized and ready
[2025-02-22 23:54:44,760] [DEBUG] Received from Arduino: PONG
[2025-02-22 23:54:45,666] [DEBUG] Received from Arduino: ADMIN:1
[2025-02-22 23:54:45,666] [INFO] Admin button pressed
[2025-02-22 23:54:45,667] [INFO] Calling admin callback
[2025-02-22 23:56:08,606] [DEBUG] Received from Arduino: ADMIN:1
[2025-02-22 23:56:08,607] [INFO] Admin button pressed
[2025-02-22 23:56:08,607] [INFO] Calling admin callback
[2025-02-22 23:56:09,960] [DEBUG] Received from Arduino: ADMIN:1
[2025-02-22 23:56:09,960] [INFO] Admin button pressed
[2025-02-22 23:56:09,961] [INFO] Calling admin callback
[2025-02-22 23:56:10,661] [DEBUG] Received from Arduino: ADMIN:1
[2025-02-22 23:56:10,661] [INFO] Admin button pressed
[2025-02-22 23:56:10,662] [INFO] Calling admin callback
[2025-02-22 23:56:11,325] [DEBUG] Received from Arduino: ADMIN:1
[2025-02-22 23:56:11,325] [INFO] Admin button pressed
[2025-02-22 23:56:11,331] [INFO] Calling admin callback
[2025-02-22 23:56:12,055] [DEBUG] Received from Arduino: ADMIN:1
[2025-02-22 23:56:12,055] [INFO] Admin button pressed
[2025-02-22 23:56:12,056] [INFO] Calling admin callback
[2025-02-22 23:56:12,728] [DEBUG] Received from Arduino: ADMIN:1
[2025-02-22 23:56:12,728] [INFO] Admin button pressed
[2025-02-22 23:56:12,729] [INFO] Calling admin callback
[2025-02-22 23:56:13,479] [DEBUG] Received from Arduino: ADMIN:1
